"Rank","Name","Team","POS","SALARY","YEARS","Total_Value"
"","Paul Kariya","ANA","LW","$ 10,000,000","1 (2000)","$ 10,000,000"
"","Peter Forsberg","COL","C","$ 10,000,000","1 (2000)","$ 10,000,000"
"","Jaromir Jagr","PIT","RW","$ 9,842,708","1 (2000)","$ 9,842,708"
"","Pavel Bure","FLA","RW","$ 9,000,000","1 (2000)","$ 9,000,000"
"","Keith Tkachuk","STL","LW","$ 8,300,000","1 (2000)","$ 8,300,000"
"","Steve Yzerman","DET","C","$ 8,000,000","1 (2000)","$ 8,000,000"
"","Teemu Selanne","SJS","RW","$ 8,000,000","1 (2000)","$ 8,000,000"
"","Joe Sakic","COL","C","$ 7,900,000","1 (2000)","$ 7,900,000"
"","Brian Leetch","NYR","D","$ 7,680,000","1 (2000)","$ 7,680,000"
"","Dominik Hasek","BUF","G","$ 7,500,000","1 (2000)","$ 7,500,000"
"","Mats Sundin","TOR","C","$ 7,500,000","1 (2000)","$ 7,500,000"
"","Patrick Roy","COL","G","$ 7,500,000","1 (2000)","$ 7,500,000"
"","Nicklas Lidstrom","DET","D","$ 7,250,000","1 (2000)","$ 7,250,000"
"","Brett Hull","DAL","RW","$ 7,000,000","1 (2000)","$ 7,000,000"
"","John LeClair","PHI","LW","$ 7,000,000","1 (2000)","$ 7,000,000"
"","Mike Modano","DAL","C","$ 7,000,000","1 (2000)","$ 7,000,000"
"","Brendan Shanahan","DET","LW","$ 6,500,000","1 (2000)","$ 6,500,000"
"","Curtis Joseph","TOR","G","$ 6,150,000","1 (2000)","$ 6,150,000"
"","Doug Gilmour","BUF","C","$ 6,000,000","1 (2000)","$ 6,000,000"
"","Theo Fleury","NYR","RW","$ 6,000,000","1 (2000)","$ 6,000,000"
"","Mike Richter","NYR","G","$ 5,600,000","1 (2000)","$ 5,600,000"
"","Chris Chelios","DET","D","$ 5,500,000","1 (2000)","$ 5,500,000"
"","Ed Belfour","DAL","G","$ 5,500,000","1 (2000)","$ 5,500,000"
